0,0.6267985690962634,
1,0.5555594819465866,
2,0.5019025998012049,
3,0.4683280114803734,
4,0.43645496970599895,
5,0.4018085659776259,
6,0.3644732338775839,
7,0.31502687043702127,
8,0.28581477230248525,
9,0.24631254601870767,
10,0.2063631294977992,
11,0.1711337082276681,
12,0.1511022211249956,
13,0.11955394114965963,
14,0.098875072698998,
15,0.09113519414908426,
16,0.08583738147873682,
17,0.06273440667963738,
18,0.06229193523997748,
19,0.04279520338382179,
20,0.051141364636338955,
21,0.09170182343563456,
22,0.14977799277365533,
23,0.21598695193180975,
24,0.08725891795441874,
25,0.09336771800731852,
26,0.049148660333594274,
27,0.036760872023593766,
28,0.03624525423071922,
29,0.020764649449988647,
30,0.015420288803463567,
31,0.015021894880400542,
32,0.010050861322640981,
33,0.008183357492197547,
34,0.007200603174563321,
35,0.005999121328468249,
36,0.004931941529641447,
37,0.00373619550929785,
38,0.00324172359154137,
39,0.002604845370076907,
40,0.0022482190481078012,
41,0.002039531248874556,
42,0.0018312182258847576,
43,0.0016661199132129334,
44,0.0015475991342878688,
45,0.0014312466490249045,
46,0.0013150213914753333,
47,0.0012256837137490505,
48,0.0011722094711566107,
49,0.001110320037286248,
50,0.0010565888415683304,
51,0.001018188105009629,
52,0.0009773420304160956,
53,0.0009430759566688471,
54,0.0009106905752069505,
55,0.0008794546992094167,
56,0.0008548423396790631,
