Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Bettie Page unbound,,19569117,Monograph,Language material ; Still image ; Text,Volume,GBB9G7615,9781524112943,"Avallone, David",,person,author,"Avallone, David, author [person] ; Ohta, Julius, artist [person]",,,United States of America,Mount Laurel,Dynamite Entertainment,2019,,"1 volume, chiefly illustrations, 27 cm",741.5,,"Page, Bettie--Comic books, strips, etc--Fiction",Adventure ; Comic or graphic novel ; Fiction ; Novel,English,
Bettie Page. 2. Model agent,Bettie Page. The model agent ; Bettie Page. Vol 2. In model agent ; In model agent ; Model agent,18891301,Monograph,Language material ; Still image ; Text,Volume,GBB8A1863,9781524107048,"Avallone, David",,person,author,"Esposito, Taylor [person] ; Figueroa, Esau, artist [person] ; Gaudio, Matt, artist [person] ; Pezzillo, Brittany [person] ; Avallone, David, author [person] ; Wade, Bane, artist [person] ; Mohan (Mohan Sivakami) [person]",The secret diary of Bettie Page,volume 2 [The secret diary of Bettie Page],United States of America,"Montana Laurel, New Jersey",Dynamite,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.201,"Page, Bettie--Comic books, strips, etc",Adventure ; Comic or graphic novel,English,'Collects issues 5-8 of Bettie Page'--Back cover
Bettie Page. The model agent,Bettie Page. 2. Model agent ; Bettie Page. Vol 2. In model agent ; In model agent ; Model agent,18891301,Monograph,Language material ; Still image ; Text,Volume,GBB8A1863,9781524107048,"Avallone, David",,person,author,"Esposito, Taylor [person] ; Figueroa, Esau, artist [person] ; Gaudio, Matt, artist [person] ; Pezzillo, Brittany [person] ; Avallone, David, author [person] ; Wade, Bane, artist [person] ; Mohan (Mohan Sivakami) [person]",The secret diary of Bettie Page,volume 2 [The secret diary of Bettie Page],United States of America,"Montana Laurel, New Jersey",Dynamite,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.201,"Page, Bettie--Comic books, strips, etc",Adventure ; Comic or graphic novel,English,'Collects issues 5-8 of Bettie Page'--Back cover
Bettie Page. Vol 2. In model agent,Bettie Page. 2. Model agent ; Bettie Page. The model agent ; In model agent ; Model agent,18891301,Monograph,Language material ; Still image ; Text,Volume,GBB8A1863,9781524107048,"Avallone, David",,person,author,"Esposito, Taylor [person] ; Figueroa, Esau, artist [person] ; Gaudio, Matt, artist [person] ; Pezzillo, Brittany [person] ; Avallone, David, author [person] ; Wade, Bane, artist [person] ; Mohan (Mohan Sivakami) [person]",The secret diary of Bettie Page,volume 2 [The secret diary of Bettie Page],United States of America,"Montana Laurel, New Jersey",Dynamite,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.201,"Page, Bettie--Comic books, strips, etc",Adventure ; Comic or graphic novel,English,'Collects issues 5-8 of Bettie Page'--Back cover
Bettie Page. Volume 1. Bettie in Hollywood,Bettie in Hollywood,18785351,Monograph,Language material ; Still image ; Text,Volume,GBB847027,9781524106447,"Avallone, David",,person,author,"Avallone, David, author [person] ; Worley, Colton, artist [person] ; Esposito, Taylor, artist [person]",,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2018,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2019.b.5377,"Page, Bettie--Comic books, strips, etc--Fiction ; Models (Persons)--Comic books, strips, etc",Adventure ; Comic or graphic novel ; Fiction ; Novel,English,"Contains materials originally published as Bettie Page: volume 1, issues #1-4 and The secret diary of Bettie Page: red Christmas"
Bettie in Hollywood,Bettie Page. Volume 1. Bettie in Hollywood,18785351,Monograph,Language material ; Still image ; Text,Volume,GBB847027,9781524106447,"Avallone, David",,person,author,"Avallone, David, author [person] ; Worley, Colton, artist [person] ; Esposito, Taylor, artist [person]",,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2018,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2019.b.5377,"Page, Bettie--Comic books, strips, etc--Fiction ; Models (Persons)--Comic books, strips, etc",Adventure ; Comic or graphic novel ; Fiction ; Novel,English,"Contains materials originally published as Bettie Page: volume 1, issues #1-4 and The secret diary of Bettie Page: red Christmas"
Betty & Veronica beach party,Beach party ; Betty and Veronica beach party,15523286,Monograph,Language material ; Text,Volume,GBB047113,9781879794504,"Parent, Dan",,person,,"Gladir, George [person] ; Shultz, Jeff [person] ; DeCesare, Angelo [person] ; Parent, Dan [person]",Archie & friends all-stars,volume 4 [Archie & friends all-stars],United States of America,"Mamaroneck, New York",Archie Comic Publications,2010,,"1 volume (various pagings), chiefly colour illustrations, 23 cm",741.5973,YK.2010.a.33075,"Young adult fiction ; Teenagers--Comic books, strips, etc--Juvenile fiction ; High schools--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,"'All stories previously published and copyrighted by Archie Comic Publications, including (or its predecessors) in magazine form in 2002-2009.'"
Betty & Veronica,Archie comics presents Betty & Veronica. Vol. 1,17766457,Monograph,Language material ; Still image ; Text,Volume,GBB634786,9781627388757,,,,,,,,United States of America,Mamaroneck,Archie,2016,,"1 volume, chiefly colour illustrations, 27 cm",741.5973,,"Andrews, Archie, (Fictitious character)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,
Betty Boop,,18248641,Monograph,Language material ; Still image ; Text,Volume,GBB733636,9781524103187,"Langridge, Roger",,person,author,"Langridge, Roger, author [person] ; Lagacé, Gisèle, 1970-, artist [person]",,,United States of America,Montana Laurel,Dynamite Entertainment,2017,,"104 unnumbered pages, chiefly illustrations (black and white and colour), 26 cm",741.5941,YKL.2018.b.3926,"Graphic novels ; Boop, Betty, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Betty R.I.P,,17603989,Monograph,Language material ; Still image ; Text,Volume,GBB5F9216,9781619889484,"Aguirre-Sacasa, Roberto",,person,author,"Aguirre-Sacasa, Roberto, author [person] ; Francavilla, Francesco, artist [person]",Afterlife with Archie,,United States of America,Mamaroneck,Archie,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Andrews, Archie, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,
Betty and Veronica : storybook,,15669694,Monograph,Language material ; Text,Volume,GBB0C3001,9781879794603,"Parent, Dan",,person,,"Parent, Dan [person]",Archie & friends all-stars,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2011,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Andrews, Archie, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Young adult fiction,English,
Betty and Veronica beach party,Beach party ; Betty & Veronica beach party,15523286,Monograph,Language material ; Text,Volume,GBB047113,9781879794504,"Parent, Dan",,person,,"Gladir, George [person] ; Shultz, Jeff [person] ; DeCesare, Angelo [person] ; Parent, Dan [person]",Archie & friends all-stars,volume 4 [Archie & friends all-stars],United States of America,"Mamaroneck, New York",Archie Comic Publications,2010,,"1 volume (various pagings), chiefly colour illustrations, 23 cm",741.5973,YK.2010.a.33075,"Young adult fiction ; Teenagers--Comic books, strips, etc--Juvenile fiction ; High schools--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,"'All stories previously published and copyrighted by Archie Comic Publications, including (or its predecessors) in magazine form in 2002-2009.'"
Betty and me. Vol. 1,,19142446,Monograph,Language material ; Still image ; Text,Volume,GBB8M0067,9781682558898,,,,,,,,United States of America,New York,Archie Comics,2019,,"1 volume, chiefly colour illustrations, 21 cm",741.5973,,"Cooper, Betty, (Fictitious character)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,
Betty,,16734342,Monograph,Language material ; Still image ; Text,Volume,GBB457822,9781936975372,"Del Rio, Tania",,person,author,"Del Rio, Tania, author [person] ; Gisele, artist [person] ; Galvan, Bill, artist [person]",Diary of a girl next door,,United States of America,Mamaroneck,Archie,2014,,"1 volume, chiefly black and white illustrations, 21 cm",741.5,,"Cooper, Betty (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Diary fiction ; Fiction ; Novel,English,
