feature,weight
intercept,2.2960278630711706
id,-3.1633683880064916
status,-0.35374204878167
duration,-0.28121402294317827
credit_history,-0.18068499804584015
purpose,-0.3130958028085635
amount,-0.022669883969624674
savings,-0.13668196344649133
employment_duration,-0.0006501180754092061
installment_rate,-0.016066555364760864
other_debtors,-0.19628514295327115
present_residence,0.1256884121642247
property,0.1803873123888225
age,0.022711216498818205
other_installment_plans,0.04495648639133064
housing,0.12959128678443932
number_credits,0.19315784360711313
job,0.08886786914337727
people_liable,-0.07155143246748666
telephone,0.13053517293098427
foreign_worker,0.18315425356525114
