ISBN,Title,Other Titles,Author,All Names,Country of Publication,Place of Publication,Publisher,Publication Year
9781401278229,A lonely place of living,,"Tynion, James, iv","Tynion, James, iv, author [person]",United States of America,"Burbank, California",DC Comics,2018
9781781086865,A long way home,,"Abnett, Dan","Harrison, Mark, 1963-, author [person] ; Abnett, Dan, author [person]",England,Oxford,,2019
9781401273941,A lot of Li'l Gotham,,"Nguyen, Dustin","Nguyen, Dustin, author [person] ; Fridolfs, Derek, artist [person]",United States of America,"Burbank, California",DC Comics,2018
9781569707180,A love song for the miserable,,Yukimura,Yukimura [person],England ; United States of America,"Carson, California ; London",Diamond,2008
9781534316911,A man among ye. Volume 1,,"Phillips, Stephanie","Cermak, Craig, artist [person] ; Phillips, Stephanie, author [person]",United States of America,Berkeley,Image Comics,2020
9781250146687,A map to the sun,,"Leong, Sloane","Leong, Sloane, author [person]",United States of America,New York,First Second,2020
9780993279416,A marmot's tale,,"Gibert, Benjamin","Keyte, Christopher, illustrator [person] ; Gibert, Benjamin, 1988-, author [person]",England,Oxford,Benjamin Gibert,2015
9781782767534 ; 9781785852855,A matter of life and death,,"Mann, George","Hi-Fi Colour Design [organisation] ; Vieceli, Emma, artist [person] ; Starkings, Richard [person] ; Mann, George, author [person] ; Betancourt, Jimmy [person] ; Zhang, Alice X., artist [person]",England,London,Titan Comics,2016
9781603092661,A matter of life,,"Brown, Jeffrey","Brown, Jeffrey, 1975-, artist ; author [person]",United States of America,"Marietta, Georgia",Top Shelf Productions,2013
9781560979562,A mess of everything,,"Lasko-Gross, miss","Lasko-Gross, miss [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2009
9781906332891,A midsummer night's dream : the graphic novel,Midsummer night's dream,"McDonald, John F. (John Francis)","Nicholson, Kat [person] ; McDonald, John F. (John Francis), 1948- [person] ; Bryant, Clive [person] ; Cardy, Jason [person] ; Shakespeare, William, 1564-1616 [person]",England,Towcester,Classical,2011
9781906332907,A midsummer night's dream : the graphic novel,Midsummer night's dream,"McDonald, John F. (John Francis)","Nicholson, Kat [person] ; McDonald, John F. (John Francis), 1948- [person] ; Bryant, Clive [person] ; Cardy, Jason [person] ; Shakespeare, William, 1564-1616 [person]",England,Towcester,Classical,2011
9781906332914,A midsummer night's dream : the graphic novel,Midsummer night's dream,"McDonald, John F. (John Francis)","Nicholson, Kat [person] ; McDonald, John F. (John Francis), 1948- [person] ; Bryant, Clive [person] ; Cardy, Jason [person] ; Shakespeare, William, 1564-1616 [person]",England,Towcester,Classical,2011
9780955285646,A midsummer night's dream,Midsummer night's dream,"Appignanesi, Richard","Shakespeare, William, 1564-1616 [person] ; Appignanesi, Richard [person] ; Brown, Kate, 1984- [person]",England,London,SelfMadeHero,2008
9780954432584,A midsummer night's dream,Midsummer night's dream,"Greaves, Simon","Greaves, Simon, 1955- [person] ; Shakespeare, William, 1564-1616 [person]",England ; Wales,Oswestry,Timber Frame,2005
9781906714727,A midsummer night's dream,Midsummer night's dream,"Graham, Ian","Graham, Ian, 1953- [person] ; Gelev, Penko [person] ; Shakespeare, William, 1564-1616 [person]",England,Brighton,Book House,2010
9781783220182,A midsummer night's dream,Midsummer night's dream,"Burningham, Hilary","Slattery, Zara, illustrator [person] ; Burningham, Hilary, author [person] ; Shakespeare, William, 1564-1616 [person]",England,Twickenham,ReadZone,2013
9781911238133,A midsummer night's dream,Midsummer night's dream,"Willinsky, Samuel","Blum, Alex A., 1889-1969, artist [person] ; Willinsky, Samuel, author [person] ; Shakespeare, William, 1564-1616 [person]",England,"Newbury, Berkshire",,2017
9781606902479,A murder of crows,,"Trautmann, Eric S.","Khan Michael, Heubert, 1979- [person] ; Neves, Fabiano [person] ; Jerwa, Brandon [person] ; Desjardins, Johnny [person] ; Trautmann, Eric S. [person]",United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2011
9781935002222,A murder of scarecrows,,"Reed, Gary","Reed, Gary, 1956-2016 [person] ; Reid, Wayne [person]",United States of America,"Dallas, Georgia",Desperado,2009
9781569703243,A murmur of the heart,,"Tateno, Makoto","Tateno, Makoto, artist ; author [person]",United States of America,Gardena,Digital Manga,2014
,A nation under our feet. part one,,"Coates, Ta-Nehisi","Brevoort, Tom, editor [person] ; Alonso, Axel, editor [person] ; Robinson, Chris, editor [person] ; Coates, Ta-Nehisi, author [person] ; Sprouse, Chris, artist [person] ; Moss, Wil, editor [person] ; Stelfreeze, Brian, artist [person]",England,London,Hachette,2018
,A nation under our feet. part two,,"Coates, Ta-Nehisi","Brevoort, Tom, editor [person] ; Alonso, Axel, editor [person] ; Robinson, Chris, editor [person] ; Coates, Ta-Nehisi, author [person] ; Sprouse, Chris, artist [person] ; Moss, Wil, editor [person] ; Stelfreeze, Brian, artist [person]",England,London,Hachette,2018
9781846537912,A nation under our feet. volume 2. The crew,Crew,"Coates, Ta-Nehisi","Stelfreeze, Brian, artist [person] ; Coates, Ta-Nehisi, author [person]",England,"Tunbridge Wells, Kent",Panini Publishing,2017
9781780264424,A new Jerusalem,,"Dickson, Benjamin","Dickson, Benjamin, artist ; author [person]",England,Oxford,New Internationalist,2018
9781782761594,A new Peanuts book featuring Snoopy,Peanuts. Selections ; Snoopy,"Schulz, Charles M. (Charles Monroe)","Schulz, Charles M. (Charles Monroe), 1922-2000, artist ; author [person]",England,London,Titan Comics,2015
9781785866760,A new beginning,,"Houser, Jody","Angiolini, Enrica Eren, artist [person] ; Stott, Rachael, artist [person] ; Houser, Jody, author [person]",England,London,Titan Comics,2019
9780979420740,A new frontier,,"Braddock, Paige","Braddock, Paige [person]",England ; United States of America,"London ; Sebastopol, California",Diamond ; Girl Twirl,2010
9781632294463,A new hero emerges,,,,United States of America,Ashland,Action Lab Entertainment,2019
9781631405013,A new mission,,"Beechen, Adam","Eisinger, Justin, author [person] ; Beechen, Adam, author [person] ; Capizzi, Duane, author [person] ; Lazcano, Gilberto [person]",United States of America,San Diego,,2016
9781569703076,A new season of young leaves,,"Tachibana, Venio","Tachibana, Venio, author [person] ; Kitahata, Akeno, artist [person]",United States of America,Gardena,Digital Manga,2014
9781591828174,A new threat,Cybertron City ; Energon stars,"Klassen, Terry","Klassen, Terry [person]",England ; United States of America,"London ; Los Angeles, California",Tokyopop,2005
9781401214579 ; 9781845766344,A nightmare on Elm Street,,"Dixon, Chuck","West, Kevin [person] ; Dixon, Chuck, 1954- [person]",England ; United States of America,"La Jolla, California ; London",Titan ; Wildstorm,2007
9781848560529,A nightmare on Elm Street. Vol. 2,,,,England,London,Titan,2008
9788496427235,A patch of dreams,,"Oda, Hideji","Oda, Hideji [person]",England,London,Fanfare,2008
9781401227715 ; 9781848569577,A penny for Jackie Johnson! --,A slug for a sergeant! ; Boobytrap mascot! -- ; Dead end for a dogface! -- ; Easy's last stand! -- ; Flytrap hill! -- ; Give me your stripes! -- ; Half a Sergeant! -- ; I knew the unknown soldier! -- ; Iron Major-- rock Sergeant! -- ; Kill me-- kill me! -- ; Kill one-- save one! -- ; Last man-- last shot! -- ; Nazi on my back! -- ; No one comes down alive from Buzzard Bait Hill! -- ; No stripes for me! -- ; Nothin's ever lost in war! -- ; One kill too many! -- ; Only one medal for Easy! ; Our Army at War #149 ; Our Army at War #150 ; Our Army at War #151 ; Our Army at War #152 ; Our Army at War #153 ; Our Army at War #154 ; Our Army at War #155 ; Our Army at War #156 ; Our Army at War #157 ; Our Army at War #158 ; Our Army at War #159 ; Our Army at War #160 ; Our Army at War #161 ; Our Army at War #162 ; Our Army at War #163 ; Our Army at War #165 ; Our Army at War #166 ; Our Army at War #167 ; Our Army at War #168 ; Our Army at War #169 ; Our Army at War #170 ; Our Army at War #171 ; Our Army at War #172 ; Our Army at War #174 ; Our Army at War #175 ; Our Army at War #176 ; Our Army at War #178 ; Our Army at War #179 ; Our Army at War #180 ; Return of the Iron Major! -- ; Sergeant Rock. Volume three ; Sgt. Rock. Volume three ; Showcase presents ; Showcase presents Sgt. Rock. Volume three ; Surrender ticket! -- ; T.N.T. letter! ; The Sergeant must die! -- ; The blind gun! -- ; The human tank trap! -- ; The prince and the Sergeant! -- ; War party! -- ; What's the color of your blood? -- ; You can't kill a general!,"Kanigher, Robert","Kubert, Joe, 1926-2012 [person] ; Kanigher, Robert [person] ; Heath, Russ [person]",United States of America,New York,DC Comics,2010
9780805077797 ; 9780805087444,A people's history of American empire : a graphic adaptation,,"Zinn, Howard","Konopacki, Mike [person] ; Zinn, Howard, 1922-2010 [person] ; Buhle, Paul, 1944- [person]",England ; United States of America,Godalming ; New York,Melia ; Metropolitan,2008
9781845298319,A people's history of American empire : a graphic adaptation,,"Zinn, Howard","Konopacki, Mike [person] ; Zinn, Howard, 1922-2010 [person] ; Buhle, Paul, 1944- [person]",England,London,Constable,2008
9781472107817,A people's history of American empire : a graphic adaptation,,"Zinn, Howard","Konopacki, Mike [person] ; Zinn, Howard, 1922-2010 [person] ; Buhle, Paul, 1944- [person]",England ; United Kingdom,London,Constable,2013
9780785189602,A perfect world,,"Hickman, Jonathan","Hickman, Jonathan, author [person] ; Schiti, Valerio, artist [person]",United States of America,New York,Marvel,2015
9781840239539 ; 9781840239584,A pier too far,,"Abnett, Dan","Hansen, Jimmy [person] ; Abnett, Dan [person]",England,London,Titan,2005
9780785190769,A pirate's life for me,,"Layman, John","Garrón, Javier, artist [person] ; Layman, John, 1967-, author [person]",United States of America,New York,Marvel,2015
9781905038350,A pocketful of clouds. Volume one. Welcome to Eyrton,,"Lewis, Morag","Lewis, Morag, 1979- [person]",England,Cambridge,Sweatdrop Studios,2012
9781905038503,A pocketful of clouds. Volume seven. Taking wing,Pocketful of clouds. 07. Taking wing ; Taking wing,"Lewis, Morag","Ioffreda, Jenika, artist [person] ; Lewis, Morag, 1979-, artist ; author [person] ; Gingerboom, En, artist [person]",England,Cambridge,Sweatdrop Studios,2018
9780785199700,A power greater that cosmic,,"Slott, Dan","Allred, Mike (Mike Dalton), artist [person] ; Slott, Dan, author [person]",United States of America,New York,Marvel Worldwide,2017
9780785160427,A princess of Mars,,"Langridge, Roger","Langridge, Roger [person] ; Andrade, Filipe [person] ; Burroughs, Edgar Rice, 1875-1950 [person]",England ; United States of America,London ; New York,Marvel ; Turnaround,2012
,A question of love,,"Johnson, Paul","Johnson, Paul, illustrator [person]",United Kingdom,,Paul Johnson,1984
9781400048571,A right to be hostile : the Boondocks treasury,,"McGruder, Aaron","McGruder, Aaron [person]",United States of America,New York,Three Rivers,2005
9781586647605,A rockstar's tale 1,,"Kim, Dong Hwa","Kim, Dong Hwa [person]",England ; United States of America,London ; New York,CPM Manhwa ; Diamond,2005
9780486798127,A sailor's story,,"Glanzman, Sam","Glanzman, Sam, artist ; author [person]",United States of America,Mineola,Dover,2015
9781787733169,A scandal in Belgravia. Part 1,,"Moffat, Steven","Gatiss, Mark, author [person] ; Jay, artist ; illustrator [person] ; Moffat, Steven, 1961-, author [person]",England,London,Titan Comics,2020
9781934944080,A second chance at Sarah,,"Druckmann, Neil","Thomas, Michael David [person] ; Wong, Joysuke [person] ; Druckmann, Neil [person]",United States of America,"San Diego, California",Ape Entertainment,2009
9781848564169,A sickness in the family,,"Mina, Denise","Fuso, Antonio [person] ; Mina, Denise [person]",England,London,Titan,2010
9781401210816 ; 9781401228323,A sickness in the family,,"Mina, Denise","Fuso, Antonio [person] ; Robins, Clem, 1955- [person] ; Mina, Denise [person]",United States of America,New York,DC Comics ; Vertigo Crime,2010
9781848564176,A sickness in the family,,"Mina, Denise","Fuso, Antonio [person] ; Robins, Clem, 1955- [person] ; Mina, Denise [person]",England,London,Titan,2011
9781781083352,A simple killing,,"Mills, Pat","Mills, Pat, author [person] ; Davis, S. B. (Simon B.), artist [person]",England,Oxford,Rebellion,2015
9781770460096,A single match,,"Suzuki, Ōji","Allen, Jocelyne, 1974- [person] ; Suzuki, Ōji, 1949- [person]",Canada,Montréal,Drawn & Quarterly,2010
9780785185093,A skinning of souls,,"Lobdell, Scott","Lobdell, Scott, author [person] ; Kubert, Andy, artist [person] ; Nicieza, Fabian, author [person]",United States of America,New York,Marvel,2013
9781401227715 ; 9781848569577,A slug for a sergeant!,A penny for Jackie Johnson! -- ; Boobytrap mascot! -- ; Dead end for a dogface! -- ; Easy's last stand! -- ; Flytrap hill! -- ; Give me your stripes! -- ; Half a Sergeant! -- ; I knew the unknown soldier! -- ; Iron Major-- rock Sergeant! -- ; Kill me-- kill me! -- ; Kill one-- save one! -- ; Last man-- last shot! -- ; Nazi on my back! -- ; No one comes down alive from Buzzard Bait Hill! -- ; No stripes for me! -- ; Nothin's ever lost in war! -- ; One kill too many! -- ; Only one medal for Easy! ; Our Army at War #149 ; Our Army at War #150 ; Our Army at War #151 ; Our Army at War #152 ; Our Army at War #153 ; Our Army at War #154 ; Our Army at War #155 ; Our Army at War #156 ; Our Army at War #157 ; Our Army at War #158 ; Our Army at War #159 ; Our Army at War #160 ; Our Army at War #161 ; Our Army at War #162 ; Our Army at War #163 ; Our Army at War #165 ; Our Army at War #166 ; Our Army at War #167 ; Our Army at War #168 ; Our Army at War #169 ; Our Army at War #170 ; Our Army at War #171 ; Our Army at War #172 ; Our Army at War #174 ; Our Army at War #175 ; Our Army at War #176 ; Our Army at War #178 ; Our Army at War #179 ; Our Army at War #180 ; Return of the Iron Major! -- ; Sergeant Rock. Volume three ; Sgt. Rock. Volume three ; Showcase presents ; Showcase presents Sgt. Rock. Volume three ; Surrender ticket! -- ; T.N.T. letter! ; The Sergeant must die! -- ; The blind gun! -- ; The human tank trap! -- ; The prince and the Sergeant! -- ; War party! -- ; What's the color of your blood? -- ; You can't kill a general!,"Kanigher, Robert","Kubert, Joe, 1926-2012 [person] ; Kanigher, Robert [person] ; Heath, Russ [person]",United States of America,New York,DC Comics,2010
9781545804179,A song for the Thea sisters : The Thea sisters and the secret treasure hunt,Thea sisters and the secret treasure hunt ; Works. Selections. English,"Stilton, Thea","Stilton, Thea [person] ; Stilton, Thea, artist ; author [person] ; Jampole, Ryan, 1985-, artist [person]",United States of America,New York,Papercutz,2020
9781629916408,A song for the Thea sisters,,"Stilton, Thea","Stilton, Thea, author [person]",United States of America,New York,Papercutz,2017
9781534300545,A southern original,,"Buccellato, Brian","Young, Jennifer, author ; writer [person] ; Peteri, Troy [person] ; Bergara, Matías, 1984-, artist [person] ; Buccellato, Brian, author [person]",United States of America,"Portland, Oregon",Image Comics,2017
9781845350406,A spin round the sixties,,,,England,London,DC Thomson,2005
9781870699860,A stellar key to the Summerland,,"Plender, Olivia","Plender, Olivia [person]",England,London,Book Works,2007
9781934964149,A story of derby love,"Don't ask, don't tell ; Flat Track U ; From geek to freak to emergency room ; Galzilla: beware the clownquistador ; Jam! : tales from the world of roller derby ; Mad Mazines ; Maybe it's all a dream ; Pinup ; Poor Frankis ; Reno: where dreams and derby socks come to die ; Roller derby: rules! ; Sisters of the Flat Track ; Skatertots ; Stripes ; This one's for you, Grandma! ; Time jam ; Trainwreck Taghurt",,"Beaton, Jill [person] ; Rose City Rollers [organisation] ; Lewis, Jackie (Jackie Acki) [person]",United States of America,"Portland, Oregon",Oni Press,2010
9781684051625,A strange & beautiful sound,Bruit etrange et beau. English ; Strange and beautiful sound,Zep,"Zep, 1967-, artist ; author [person] ; Melloul, Jeremy, translator [person] ; Cvetkovic, Frank [person] ; Eisinger, Justin, editor [person]",United States of America,"San Diego, California",,2018
9781421595962,A strange & mystifying story. 2,Strange and mystifying story,"Suzuki, Tsuta","Suzuki, Tsuta, artist ; author [person] ; LeBlanc, Jennifer, editor [person] ; Beck, Adrienne, translator [person]",United States of America,"San Francisco, California",SuBLime,2018
9781421595955,A strange and mystifying story. Volume 1,,"Suzuki, Tsuta","Suzuki, Tsuta, artist ; author [person]",United States of America,"San Francisco, California",SuBLime,2017
9781891867743,A strange day,,"Hurd, Damon","Hurd, Damon [person] ; Gill, Tatiana [person]",England ; United States of America,"Gainesville, Florida ; London",Alternative Comics ; Diamond,2005
9781785856150,A study in pink,,"Moffat, Steven","Moffat, Steven, 1961-, author [person]",England,London,Titan,2017
9781906838010,A study in scarlet,,"Edginton, Ian","Culbard, Ian [person] ; Doyle, Arthur Conan, 1859-1930 [person] ; Edginton, Ian [person]",England,London,SelfMadeHero,2009
9781910593332,A study in scarlet,Study in scarlet,"Edginton, Ian","Doyle, Arthur Conan, 1859-1930 [person] ; Culbard, Ian, artist [person] ; Edginton, Ian, author [person]",England,London,SelfMadeHero,2017
9781684052875,A suivre,Silencio de Malka. English ; The silence of Malka,"Zentner, Jorge","Melloul, Jeremy, translator [person] ; Zentner, Jorge, author [person] ; Pellejero, Rubén, 1952-, artist [person] ; Guzman-Verdugo, Carlos, translator [person] ; Gauvin, Edward, translator [person]",United States of America,"San Diego, California",EuroComics,2018
,A tale of Beem Gotelump (pronounce 'Gote' as in note),Beem! : a comic book for the end of the world,"Campbell, Eddie","Campbell, Eddie, 1955-, author [person]",England,Wickford,E. Campbell,1974
9780957191105,A tale of two Sydneys : Taking charge of your success,At head of title: Taking charge of your success,"Gibb, Hil","Catterson, Stuart, illustrator [person] ; Gibb, Hil, 1967-, author [person]",England,"Ruskington, Sleaford",Haruki Publishing,2018
9781906370060,A tale of two cities,,"Morley, Jacqueline","Dickens, Charles, 1812-1870 [person] ; Felmang, Romano [person] ; Morley, Jacqueline [person]",England,Brighton,Book House,2008
9781906838102,A tale of two cities,,"Mairowitz, David Zane","Mairowitz, David Zane, 1943- [person] ; Dickens, Charles, 1812-1870 [person] ; Osada, Ryuta [person]",England,London,SelfMadeHero,2010
9781911238119,A tale of two cities,Tale of two cities,"Orlando, Joe","Evans, George, illustrator [person] ; Dickens, Charles, 1812-1870 [person] ; Orlando, Joe, artist [person] ; Brooks, Jon, editor [person]",England,"Newbury, Berkshire",,2017
9781407186672,A tale of two kitties,,"Pilkey, Dav","Pilkey, Dav, 1966-, artist ; author [person]",England,London,Scholastic,2018
9781787733107,A tale of two time lords,,"Houser, Jody","Angiolini, Enrica Eren, artist [person] ; Ingranata, Roberta, artist [person] ; Houser, Jody, author [person]",England,London,Titan Comics,2020
9780224090964,A taste of chlorine,,"Vivès, Bastien","Vivès, Bastien [person]",England,London,Jonathan Cape,2011
9781891830891,A time to be brave,,"Runton, Andy","Staros, Chris [person] ; Venditti, Robert [person] ; Runton, Andy [person]",England ; United States of America,"London ; Marietta, Georgia",Diamond ; Top Shelf,2007
9781561637041,A treasury of Victorian murder compendium,,"Geary, Rick","Geary, Rick [person]",England ; United States of America,London ; New York,Turnaround,2013
9781561633098,A treasury of Victorian murder. Vol. 1,,"Geary, Rick","Geary, Rick [person]",England ; United States of America,London ; New York,Turnaround,2002
9781561637300,A treasury of murder set,Case of Madeleine Smith ; Famous players ; Lindbergh child ; Works. Selections,"Geary, Rick","Geary, Rick [person]",United States of America,New York,,2013
9781846535444,A troubled mind,,"Slott, Dan","Ramos, Humberto, artist [person] ; Slott, Dan, author [person] ; Stegman, Ryan, artist [person]",England,"Tunbridge Wells, Kent",Panini Publishing,2013
9780785167051,A troubled mind,,"Slott, Dan","Slott, Dan, author [person] ; Ramos, Humberto, author [person]",United States of America,New York,Marvel,2013
9781401261641,A twist of fate,,"Finch, Meredith","Churchill, Ian [person] ; Anderson, Brad, artist [person] ; Sotelo, Beth [person] ; Leigh, Rob [person] ; Bryant, Rick [person] ; Finch, David, 1972-, artist [person] ; Desjardins, Johnny [person] ; Mendonça, Miguel, 1984- [person] ; Finch, Meredith, author [person] ; Glapion, Jonathan, artist [person]",United States of America,"Burbank, California",DC Comics,2016
9781598160017,A very Minty Christmas,,,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2005
9781608863068,A very civil armageddon,,"Waid, Mark","Monroe, Caleb, author [person] ; Sliney, Will, artist [person] ; Waid, Mark, 1962-, author [person] ; Gagnon, Matt, 1980-, editor [person] ; Bryant, Steve, 1965-, artist [person] ; Rosa, Chris, editor [person]",United States of America,"Los Angeles, California",Boom! Studios,2013
9781401226527 ; 9781848566514,A visit from Superman's pal,"Clark Kent, Cub reporter ; Dark strangler of the seas! ; Greatest team-up stories ever told ; How Luthor met Superboy! ; Jor-El's visit to Earth! ; Superboy : the greatest team-up stories ever told ; Superboy and the Mermaid from Atlantis! ; Superboy meets Robin the boy wonder ; Superboy meets Supergirl! ; Superboy meets the young Green Arrow! ; Superboy's wild weekend out West! ; The forging of young Batman! ; The wizard city",,"Finger, Bill, 1914-1974 [person] ; Binder, Otto O. (Otto Oscar), 1911-1975 [person] ; Swan, Curt [person] ; Plastino, Al [person] ; Siegel, Jerry, 1914-1996 [person] ; Brown, Bob, 1915-1977 [person]",England ; United States of America,London ; New York,DC Comics ; Titan,2010
9781935002451,A walk through hell. Volume 1. The warehouse,Warehouse,"Ennis, Garth","Ennis, Garth, author [person] ; Steen, Rob, 1964-, artist [person] ; Suǆuka, Goran, artist [person] ; Svorcina, Ive, artist [person] ; Marts, Michael, editor [person]",United States of America,"Sherman Oaks, California",Aftershock Comics,2018
9781569703250,A waltz in the clinic,,"Tateno, Makoto","Tateno, Makoto, artist ; author [person]",United States of America,Gardena,Digital Manga,2014
,A wise man sleeps,Kenja wa nemuru. English ; Wiseman sleeps,"Takeuchi, Mick","Takeuchi, Mick [person]",United States of America,"Agoura Hills, California","Go! Media Entertainment, LLC",2008
9781506700052,A witch shall be born,,"Van Lente, Fred","Luis, José, artist [person] ; Ching, Brian, artist [person] ; Van Lente, Fred, author [person]",United States of America,Milwaukie,Dark Horse,2016
9781506701349,A witch shall be born,,"Van Lente, Fred","Luis, José, artist [person] ; Ching, Brian, artist [person] ; Van Lente, Fred, author [person]",United States of America,Milwaukie,Dark Horse,2017
9781632156044,A woe that is madness,Rumble (Image Comics),"Arcudi, John","Stewart, Dave [person] ; Arcudi, John, author [person] ; Eliopoulos, Chris [person] ; Harren, James, 1986-, artist [person]",United States of America,"Berkeley, California",Image Comics,2016
9781302920340,A woman called Widow,,"Thomas, Roy","Conway, Gerry, author [person] ; Thomas, Roy, 1940-, author [person] ; Friedrich, Gary, 1943-, author [person]",United States of America,New York,Marvel Worldwide,2019
9781524102982,A world without sun,,"Chu, Amy","Baal, Kewber, artist [person] ; Chu, Amy, author [person]",United States of America,"Mt Laurel, New Jersey",Dynamite Entertainment,2017
9781908007049,A zoo in winter,,"Taniguchi, Jirō","Taniguchi, Jirō [person]",England ; Spain,London ; Tarragona,Fanfare ; Ponent Mon ; Turnaround,2011
9781912097319,A zoo in winter,,"Taniguchi, Jirō","Taniguchi, Jirō, artist ; author [person]",Spain,Tarragona,Fanfare,2017
9781845356422,A'Body's Wullie!,Oor Wullie : Your Wullie! A'body's Wullie! ; Your Wullie!,"Oor Wullie, Fictitious character","Oor Wullie, Fictitious character, author [person]",England,London,DCT Consumer Products,2017
9780785166740,A+X - volume 1 = Awesome,Awesome,"Loeb, Jeph","Slott, Dan, author [person] ; Loeb, Jeph, author [person] ; Bachalo, Chris, artist [person]",United States of America,New York,Marvel,2013
9780785166757,A+X. Volume 2. Amazing,,"Yost, Christopher","Ramos, Humberto, artist [person] ; Costa, Mike, author [person] ; Yost, Christopher, author [person]",United States of America,New York,Marvel,2013
9781632158680,A. D : after death,"AD, after death ; After death","Snyder, Scott","Snyder, Scott, author [person] ; Lemire, Jeff, illustrator [person] ; Wands, Steve [person]",United States of America,"Portland, Oregon",Image Comics,2017
9789381182529,"A. Pa. Je Aptul Kalām : maṉitaṉ oruvaṉ, miṣaṉkaḷ pala",,"Ramachandran, Nalini","Nagulakonda, Rajesh, illustrator [person] ; Ramachandran, Nalini, author [person]",India,"Pututilli, Intiyā",Kalyāṇi Navyuk Mīṭiyā Piraiveṭ Limiṭeṭ,2015
9781907519925,A.B.C. Warriors. The black hole,"2000 AD ; ABC Warriors. The black hole ; ABC, Atomic, Bacterial, Chemical Warriors. Black hole ; Black hole","Mills, Pat","S. M. S. [person] ; Dillon, Steve [person] ; Mills, Pat [person] ; Bisley, Simon [person]",England,Oxford,Rebellion,2011
9781302923846,A.I.M. escape,,"Whitley, Jeremy","Whitley, Jeremy, author [person] ; Gurihiru, artist [organisation]",United States of America,New York,Marvel Worldwide,2021
9781684056842,A.I.M. small,,"Maggs, Sam","Boo, Sweeney, artist [person] ; Maggs, Sam, author [person]",United States of America,San Diego,,2020
9780785189817,A.I.M.pire,,"Hickman, Jonathan","Hickman, Jonathan, author [person] ; Caselli, Stefano, artist [person] ; Spencer, Nick, author [person]",United States of America,New York,Marvel,2014
9781846535963,A.I.M.pire,Advanced Idea Mechanics pire ; All new Marvel now (Comic strip) ; Avengers world (Comic strip),"Hickman, Jonathan","Hickman, Jonathan, author [person] ; Caselli, Stefano, artist [person] ; Spencer, Nick, author [person]",England,"Tunbridge Wells, Kent",Panini Publishing,2014
9781596430952,A.L.I.E.E.E.N : archives of lost issues and earthly editions of extraterrestrial novelties,,"Trondheim, Lewis","Trondheim, Lewis [person]",England ; United States of America,London ; New York,First Second ; Macmillian Children's,2006
9780330444637,A.L.I.E.E.E.N,,"Trondheim, Lewis","Trondheim, Lewis [person]",England,London,Macmillan,2006
9781449423056,AAAA! : a FoxTrot kids edition,FoxTrot. Selections,"Amend, Bill","Amend, Bill, artist ; author [person]",United States of America,"Kansas, Missouri",Andrews McMeel Publishing,2012
9781781086230,ABC Warriors,,"Mills, Pat","Mills, Pat, author [person] ; Langley, Clint, artist [person]",England,Oxford,,2018
9781907519925,ABC Warriors. The black hole,"2000 AD ; A.B.C. Warriors. The black hole ; ABC, Atomic, Bacterial, Chemical Warriors. Black hole ; Black hole","Mills, Pat","S. M. S. [person] ; Dillon, Steve [person] ; Mills, Pat [person] ; Bisley, Simon [person]",England,Oxford,Rebellion,2011
9781907519925,"ABC, Atomic, Bacterial, Chemical Warriors. Black hole",2000 AD ; A.B.C. Warriors. The black hole ; ABC Warriors. The black hole ; Black hole,"Mills, Pat","S. M. S. [person] ; Dillon, Steve [person] ; Mills, Pat [person] ; Bisley, Simon [person]",England,Oxford,Rebellion,2011
9780316446679,ACCA 13 Terr Insp Dept,ACCA 13 Territory Inspection Department ; ACCA Thirteen Territory Inspection Department ; Akka jūsanku kansatsuka. English,"Ono, Natsume","Ono, Natsume, 1977-, artist ; author [person] ; Blakeslee, Lys, 1985- [person] ; Allen, Jocelyne, 1974-, translator [person]",United States of America,New York,,2018
9780316446785,ACCA 13 Terr Insp Dept. 4,ACCA 13 Territory Inspection Department. 4 ; ACCA Thirteen Territory Inspection Department. 4 ; Akka jūsanku kansatsuka. English,"Ono, Natsume","Ono, Natsume, 1977-, artist ; author [person] ; Blakeslee, Lys, 1985- [person] ; Allen, Jocelyne, 1974-, translator [person]",United States of America,New York,,2018
9780316446822,ACCA 13 Terr Insp Dept. 5,ACCA 13 Territory Inspection Department. 5 ; ACCA Thirteen Territory Inspection Department. 5 ; Akka jūsanku kansatsuka. 5. English,"Ono, Natsume","Ono, Natsume, 1977-, artist ; author [person] ; Blakeslee, Lys, 1985- [person] ; Allen, Jocelyne, 1974-, translator [person]",United States of America,New York,,2018
9780316446679,ACCA 13 Territory Inspection Department,ACCA 13 Terr Insp Dept ; ACCA Thirteen Territory Inspection Department ; Akka jūsanku kansatsuka. English,"Ono, Natsume","Ono, Natsume, 1977-, artist ; author [person] ; Blakeslee, Lys, 1985- [person] ; Allen, Jocelyne, 1974-, translator [person]",United States of America,New York,,2018
9780316446785,ACCA 13 Territory Inspection Department. 4,ACCA 13 Terr Insp Dept. 4 ; ACCA Thirteen Territory Inspection Department. 4 ; Akka jūsanku kansatsuka. English,"Ono, Natsume","Ono, Natsume, 1977-, artist ; author [person] ; Blakeslee, Lys, 1985- [person] ; Allen, Jocelyne, 1974-, translator [person]",United States of America,New York,,2018
