ISBN,Title,Other Titles,Author,All Names,Country of Publication,Place of Publication,Publisher,Publication Year
9781600091858,"10, 20, 30","Ten, twenty, thirty","Kang, Morim","Kang, Morim [person]",England ; United States of America,"Jersey City, New Jersey ; London",Net Comics ; Turnaround,2008
9781401218423 ; 9781848565524,"10,000 bullets",10000 bullets ; Hitman. Ten thousand bullets ; Ten thousand bullets,"Ennis, Garth","Ennis, Garth [person] ; McCrea, John, 1966- [person] ; Pugh, Steve, 1966- [person] ; Ezquerra, Carlos [person]",England ; United States of America,London ; New York,DC Comics ; Titan,2010
9781847738950,"10,000 zombies : create more than 10,000 zombies and 10,000 stories",,"Hartman, David","Hartman, David, 1949- [person] ; Cox, Alex, 1954- [person]",England,London,New Holland,2011
9781401245061,100 Bullets : Brother Lono,Brother Lono,"Azzarello, Brian","Azzarello, Brian, author [person] ; Risso, Eduardo, illustrator [person]",United States of America,New York,DC Comics ; Vertigo,2014
9781401242718 ; 9781401261337,100 Bullets : the deluxe edition book five,One hundred bullets,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",United States of America,New York,DC Comics ; Vertigo,2013
9781401242718 ; 9781401261337,100 Bullets : the deluxe edition book five,One hundred bullets,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",United States of America,New York,DC Comics ; Vertigo,2013
9781401250560,100 bullets. Book 1,,"Azzarello, Brian","Azzarello, Brian, author [person] ; Risso, Eduardo, artist [person]",United States of America,New York,DC Comics,2014
9781401254315,100 bullets. Book 2,100 bullets. Book two ; One hundred bullets. Book two,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",United States of America,New York,DC Comics,2015
9781401254315,100 bullets. Book two,100 bullets. Book 2 ; One hundred bullets. Book two,"Azzarello, Brian","Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",United States of America,New York,DC Comics,2015
9781848562103,100%,,"Pope, Paul","Pope, Paul [person]",England,London,Titan,2009
9781845760373,100%,Hundred percent ; One hundred percent,"Pope, Paul","Pope, Paul [person]",England,London,Titan,2010
9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,1000 oceans,"Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crazy ; Crucify ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Programmable soda ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The beekeeper ; The waitress ; Toast ; Upside down ; Winter",,"Hoseley, Rantz [person] ; Amos, Tori [person]",United States of America,"Berkeley, California",Image Comics,2008
9780983040439,1000 ways to die,,,"Beers, Thom [person] ; Sunico, Vincent [person] ; Brown, Chuck [person] ; Tedesco, Ralph [person] ; Rogers, Matt [person]",United States of America,"Horsham, Pennsylvania",Zenescope Entertainment,2012
9781401218423 ; 9781848565524,10000 bullets,"10,000 bullets ; Hitman. Ten thousand bullets ; Ten thousand bullets","Ennis, Garth","Ennis, Garth [person] ; McCrea, John, 1966- [person] ; Pugh, Steve, 1966- [person] ; Ezquerra, Carlos [person]",England ; United States of America,London ; New York,DC Comics ; Titan,2010
9781845762995,1001 nights of snowfall,One thousand and one nights of snowfall ; Thousand and one nights of snowfall,,"Willingham, Bill [person]",England,London,Titan,2006
9781845763930,1001 nights of snowfall,One thousand and one nights of snowfall ; Thousand and one nights of snowfall,,"Willingham, Bill [person]",England,London,Titan,2008
9781596917989,101 funny things about global warming,One hundred and one funny things about global warming,"Harris, Sidney","Harris, Sidney, author [person]",United States of America,New York,Bloomsbury,2008
9781927424728,10th Muse. Volume one. The Image Comics run. Part 1,Arcana presents 10th Muse,"Wolfman, Marv","Davis, Darren G. [person] ; Lashley, Ken, artist [person] ; Wolfman, Marv, author [person]",Canada,"Coquitlam, British Columbia",Arcana Comics,2013
9781450749237,10th muse : the beginning,Tenth muse,"Wolfman, Marv","Lashley, Ken [person] ; Wolfman, Marv [person]",England ; United States of America,"Bellingham, Washington ; London",Bluewater ; Diamond,2011
9781771351294,10th muse. Volume three. The Image Comics run. Part 3,Arcana presents 10th Muse ; Tenth muse. Volume three. The Image Comics run. Part 3,"Wolfman, Marv","Brooks, Mark, 1973-, artist [person] ; Cruz, Roger, artist [person] ; Davis, Darren G. [person] ; Wolfman, Marv, author [person]",Canada,Burnaby,Arcana,2013
9781891830754,110 perc [ent],Hundred and ten percent ; One hundred and ten percent,"Consiglio, Tony","Consiglio, Tony [person]",United States of America,"Marietta, Georgia",Top Shelf,2006
9780759529106,11th cat special,Eleventh cat,"Kim, MiKyung","Kim, MiKyung, creator [person]",England ; United States of America,London ; New York,"Little, Brown",2008
9781401234942 ; 9781781163733,12 labors,Twelve labors ; Wonder Woman. The twelve labors,"Pasko, Martin","Marston, William Moulton, 1893-1947 [person] ; Swan, Curt [person] ; Pasko, Martin [person]",United States of America,New York,DC Comics,2012
9780785184928,"12,000 A.D",Twelve thousand A.D,"Humphries, Sam","Araújo, André Lima, artist [person] ; Humphries, Sam, author [person]",United States of America,New York,Marvel,2014
9781302914042,1234,"One, two, three, four","Morrison, Grant","Morrison, Grant, author [person] ; Lee, Jae, 1972-, artist [person]",United States of America,New York,Marvel Worldwide,2018
9781613779576,13 badges,13 judges ; Judge Dredd ; Judge Dredd. Volume 4 ; Thirteen badges ; Thirteen judges,"Swierczynski, Duane","Swierczynski, Duane, author [person] ; Stanisci John, artist [person] ; Johnson, Staz, artist [person] ; Daniel, Nelson, artist [person] ; Belanger, Andy, artist [person]",United States of America,"San Diego, California",,2014
9781782760610,13 coins,Thirteen coins,"Brennan, Martin","Withers, David, cartoonist ; illustrator [person] ; Brown, Ryan, 1962-, illustrator [person] ; Jackson, Michael B., author [person] ; Brennan, Martin, 1977-, author [person] ; Bisley, Simon, illustrator [person]",England,London,Titan Comics,2015
9781613779576,13 judges,13 badges ; Judge Dredd ; Judge Dredd. Volume 4 ; Thirteen badges ; Thirteen judges,"Swierczynski, Duane","Swierczynski, Duane, author [person] ; Stanisci John, artist [person] ; Johnson, Staz, artist [person] ; Daniel, Nelson, artist [person] ; Belanger, Andy, artist [person]",United States of America,"San Diego, California",,2014
9781781086537,13th floor. Vol. 01,"Eagle and Scream! ; Scream! (London, England) ; The thirteenth floor. Vol. 01","Wagner, John","Grant, Alan, 1949-, author [person] ; Ortiz, José, 1932-, artist [person] ; Wagner, John, 1949-, author [person]",England,Oxford,Rebellion,2018
9781401262747,140 Characters,Unfollow : 140 Characters ; one hundred and forty characters,"Williams, Rob (Robert Glyndwr)","Dowling, Mike, artist [person] ; Brusco, Giulia, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Williams, Rob (Robert Glyndwr), author [person] ; Taylor, Matt, illustrator [person] ; Winter, Quinton, illustrator [person] ; Guéra, R. M., illustrator [person]",United States of America,"Burbank, California",DC Comics,2016
9781849353021,155. English,Prisoner 155 : Simon Radowitzky,"Comotto, Agustín","Celentano, Luigi, translator [person] ; Comotto, Agustín, 1968-, artist ; author [person]",United States of America,Chico,AK Press,2018
9781908648174,1602,"Marval 1602 ; Marvel comics (New York, N.Y.)","Gaiman, Neil","Klein, Todd [person] ; McKowen, Scott, illustrator [person] ; Kubert, Andy, illustrator [person] ; Isanove, Richard, illustrator [person] ; Gaiman, Neil, author [person] ; Quesada, Joe, editor [person] ; Dakesian, Nanci, editor [person] ; Lowe, Nick, 1979-, editor [person] ; Lamy, Kelly, editor [person]",England,London,Hachette,2013
9781904159438,1602,Sixteen hundred and two,"Gaiman, Neil","Gaiman, Neil, author [person] ; Kubert, Andy, artist [person]",England,"Tunbridge Wells, Kent",Panini Publishing,2019
9781910885208,1917 : the red year,Nineteen seventeen,"Sanders, Tim","Sanders, Tim, author [person] ; Newsinger, John, 1948-, author [person]",England,London,Bookmarks Publications,2016
9781910885215 ; 9781910885222 ; 9781910885239,1917 : the red year,Nineteen seventeen,"Sanders, Tim","Sanders, Tim, author [person] ; Newsinger, John, 1948-, author [person]",England,London,Bookmarks Publications,2016
9781606991411,1937-1938,Prince Valiant,"Foster, Harold R. (Harold Rudolf)","Foster, Harold R. (Harold Rudolf), 1892-1982 [person]",England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2009
