feature,weight
intercept,1.0206936099888118
status,-0.37976076575460216
duration,-0.32596972818012154
credit_history,-0.23479028058377438
purpose,-0.3179892661329112
amount,-0.30786819931275744
savings,-0.31435153912043107
employment_duration,-0.22117252843780832
installment_rate,-0.09170567864440837
other_debtors,-0.0137684362077474
present_residence,0.16124013627390596
property,0.12576989144847103
age,0.06391515406678457
other_installment_plans,0.03728934947031521
housing,0.3069989292224322
number_credits,0.021847836737505438
job,-0.03259277049331592
people_liable,-0.06171954828214197
telephone,0.14683866846786187
foreign_worker,0.2447741948640511
