feature,mean_importance
amount,-0.011906976501301968
employment_duration,-0.0021250889637433046
credit_history,-0.000467341644118946
housing,-0.00019918236467832972
foreign_worker,-4.4408920985006264e-17
people_liable,0.00013918688646283873
telephone,0.00019995651183646324
number_credits,0.00024617896521097473
present_residence,0.0004585443065870054
property,0.0005916086603846126
installment_rate,0.0008404043056400523
other_debtors,0.0019488332439391743
savings,0.002879778145431522
job,0.002967932926671213
other_installment_plans,0.003203828733311287
age,0.005718521221170026
duration,0.006467009706779492
purpose,0.008869495595778987
status,0.1169235242696081
